"No.","External ID","Name","Name 2","Address","Address 2","County","Post Code","City","Country/Region Code","Phone No.","Telex No.","Fax No.","Telex Answer Back","Territory Code","Currency Code","Language Code","Salesperson Code","VAT Registration No.","Email","Home Page","Type","Company Name","Company No.","First Name","Middle Name","Surname","Job Title","Initials","Extension No.","Mobile Phone No.","Pager","Organizational Level Code","Exclude from Segment","Correspondence Type","Salutation Code"
"CT000001","","New Bank of London","","4 Baker Street","","","W1 3AL","London","","","","","","","","","JR","","new.bank.of.london@contoso.com","","Company","New Bank of London","CT000001","","","","","","","","","","No"," ","COMPANY"
"CT000002","","World Wide Bank","","1 High Holborn","","","WC1 3DG","London","","","","","","","EUR","","JR","","world.wide.bank@contoso.com","","Company","World Wide Bank","CT000002","","","","","","","","","","No"," ","COMPANY"
"CT000003","","World Wide Bank","","1 High Holborn","","","WC1 3DG","London","","","","","","","","","JR","","world.wide.bank@contoso.com","","Company","World Wide Bank","CT000003","","","","","","","","","","No"," ","COMPANY"
"CT000004","","World Wide Bank","","1 High Holborn","","","WC1 3DG","London","","","","","","","USD","","JR","","world.wide.bank@contoso.com","","Company","World Wide Bank","CT000004","","","","","","","","","","No"," ","COMPANY"
"CT000005","","World Wide Bank","","1 High Holborn","","","WC1 3DG","London","","","","","","","","","JR","","world.wide.bank@contoso.com","","Company","World Wide Bank","CT000005","","","","","","","","","","No"," ","COMPANY"
"CT000006","","Giro Bank","","2 Bridge Street","","","W1 3AL","London","","","","","","","","","JR","","giro.bank@contoso.com","","Company","Giro Bank","CT000006","","","","","","","","","","No"," ","COMPANY"
"CT000007","","The Cannon Group PLC","","192 Market Square","","","B27 4KT","Birmingham","GB","","","","","MID","","ENG","PS","789456278","the.cannon.group.plc@contoso.com","","Company","The Cannon Group PLC","CT000007","","","","","","","","","","No"," ","COMPANY"
"CT000008","","Mr. Andy Teal","","192 Market Square","","","B27 4KT","Birmingham","GB","","","","","MID","","ENG","PS","","mr.andy.teal@contoso.com","","Person","The Cannon Group PLC","CT000007","Mr.","Andy","Teal","","","","","","","No"," ","UNISEX"
"CT000009","","Selangorian Ltd.","","153 Thomas Drive","","","CV6 1GY","Coventry","GB","","","","","MID","","ENG","PS","254687456","selangorian.ltd@contoso.com","","Company","Selangorian Ltd.","CT000009","","","","","","","","","","No"," ","COMPANY"
"CT000010","","Mr. Mark McArthur","","153 Thomas Drive","","","CV6 1GY","Coventry","GB","","","","","MID","","ENG","PS","","mr.mark.mcarthur@contoso.com","","Person","Selangorian Ltd.","CT000009","Mr.","Mark","McArthur","","","","","","","No"," ","UNISEX"
"CT000011","","John Haddock Insurance Co.","","10 High Tower Green","","","MO2 4RT","Manchester","GB","","","","","N","","ENG","PS","533435789","john.haddock.insurance.co@contoso.com","","Company","John Haddock Insurance Co.","CT000011","","","","","","","","","","No"," ","COMPANY"
"CT000012","","Miss Patricia Doyle","","10 High Tower Green","","","MO2 4RT","Manchester","GB","","","","","N","","ENG","PS","","miss.patricia.doyle@contoso.com","","Person","John Haddock Insurance Co.","CT000011","Miss","Patricia","Doyle","","","","","","","No"," ","UNISEX"
"CT000013","","Deerfield Graphics Company","","10 Deerfield Road","","","GL1 9HM","Gloucester","GB","","","","","W","","ENG","PS","733495789","deerfield.graphics.company@contoso.com","","Company","Deerfield Graphics Company","CT000013","","","","","","","","","","No"," ","COMPANY"
"CT000014","","Mr. Kevin Wright","","10 Deerfield Road","","","GL1 9HM","Gloucester","GB","","","","","W","","ENG","PS","","mr.kevin.wright@contoso.com","","Person","Deerfield Graphics Company","CT000013","Mr.","Kevin","Wright","","","","","","","No"," ","UNISEX"
"CT000015","","Guildford Water Department","","25 Water Way","","","GU7 5GT","Guildford","GB","","","","","S","","ENG","PS","582048936","guildford.water.department@contoso.com","","Company","Guildford Water Department","CT000015","","","","","","","","","","No"," ","COMPANY"
"CT000016","","Mr. Jim Stewart","","25 Water Way","","","GU7 5GT","Guildford","GB","","","","","S","","ENG","PS","","mr.jim.stewart@contoso.com","","Person","Guildford Water Department","CT000015","Mr.","Jim","Stewart","","","","","","","No"," ","UNISEX"
"CT000017","","Spotsmeyer's Furnishings","","612 South Sunset Drive","","FL","US-FL 37125","Miami","US","","","","","FOREIGN","USD","ENU","JR","","spotsmeyer's.furnishings@contoso.com","","Company","Spotsmeyer's Furnishings","CT000017","","","","","","","","","","No"," ","COMPANY"
"CT000018","","Mr. Mike Nash","","612 South Sunset Drive","","FL","US-FL 37125","Miami","US","","","","","FOREIGN","","ENU","JR","","mr.mike.nash@contoso.com","","Person","Spotsmeyer's Furnishings","CT000017","Mr.","Mike","Nash","","","","","","","No"," ","UNISEX"
"CT000019","","Progressive Home Furnishings","","3000 Roosevelt Blvd.","","","US-IL 61236","Chicago","US","","","","","FOREIGN","USD","ENU","JR","","progressive.home.furnishings@contoso.com","","Company","Progressive Home Furnishings","CT000019","","","","","","","","","","No"," ","COMPANY"
"CT000020","","Mr. Scott Mitchell","","3000 Roosevelt Blvd.","","","US-IL 61236","Chicago","US","","","","","FOREIGN","","ENU","JR","","mr.scott.mitchell@contoso.com","","Person","Progressive Home Furnishings","CT000019","Mr.","Scott","Mitchell","","","","","","","No"," ","UNISEX"
"CT000021","","New Concepts Furniture","","705 West Peachtree Street","","GA","US-GA 31772","Atlanta","US","","","","","FOREIGN","USD","ENU","JR","","new.concepts.furniture@contoso.com","","Company","New Concepts Furniture","CT000021","","","","","","","","","","No"," ","COMPANY"
"CT000022","","Ms. Tammy L. McDonald","","705 West Peachtree Street","","GA","US-GA 31772","Atlanta","US","","","","","FOREIGN","","ENU","JR","","ms.tammy.l.mcdonald@contoso.com","","Person","New Concepts Furniture","CT000021","Ms. Tammy","L.","McDonald","","","","","","","No"," ","UNISEX"
"CT000023","","Woonboulevard Kuitenbrouwer","","Industrieweg 11","","","NL-7202 BP","Zutphen","NL","","","","","FOREIGN","EUR","NLD","JR","159753258B46","woonboulevard.kuitenbrouwer@contoso.com","","Company","Woonboulevard Kuitenbrouwer","CT000023","","","","","","","","","","No"," ","COMPANY"
"CT000024","","Maryann Barber","","Industrieweg 11","","","NL-7202 BP","Zutphen","NL","","","","","FOREIGN","","NLD","JR","","maryann.barber@contoso.com","","Person","Woonboulevard Kuitenbrouwer","CT000023","Maryann","","Barber","","","","","","","No"," ","UNISEX"
"CT000025","","Meersen Meubelen","","Vijfpoortenweg 71","","","NL-6827 BP","Arnhem","NL","","","","","FOREIGN","EUR","NLD","JR","852122584B75","meersen.meubelen@contoso.com","","Company","Meersen Meubelen","CT000025","","","","","","","","","","No"," ","COMPANY"
"CT000026","","Michael Vanderhyde","","Vijfpoortenweg 71","","","NL-6827 BP","Arnhem","NL","","","","","FOREIGN","","NLD","JR","","michael.vanderhyde@contoso.com","","Person","Meersen Meubelen","CT000025","Michael","","Vanderhyde","","","","","","","No"," ","UNISEX"
"CT000027","","Candoxy Nederland BV","","Westzijdewal 123","","","NL-1009 AG","Amsterdam","NL","","","","","FOREIGN","EUR","NLD","JR","456124966B25","candoxy.nederland.bv@contoso.com","","Company","Candoxy Nederland BV","CT000027","","","","","","","","","","No"," ","COMPANY"
"CT000028","","Rob Verhoff","","Westzijdewal 123","","","NL-1009 AG","Amsterdam","NL","","","","","FOREIGN","","NLD","JR","","rob.verhoff@contoso.com","","Person","Candoxy Nederland BV","CT000027","Rob","","Verhoff","","","","","","","No"," ","UNISEX"
